Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
RAM BAHADUR THAKUR KERALA P. LTD.,"Kerala, India",Kerala,688534,825,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,476.8222361,0,29.89883618,0,817.3033715
RAM COIR MILLS,"271/CMC 5, Nedumprakkad, P85X+MC8, Cherthala, Kerala 688524, India",Kerala,688524,4763871,5457897,6629300,7195080,4168988,4509927,4977764,3216635,1922972,Cherthala,Alappuzha,9.689101163,76.3328507,0,1923475.152,1924138.063,1924082.538,1924670.851,1924211.982
RELISH CUSTOM FOOD,"Beach Road, Valanjavazhy, Kerala 688005, India",Kerala,688005,131534,0,79000,52000,55000,49516,90563,77574,28624,Ambalappuzha,Alappuzha,9.40768399,76.35170703,0,27678.66203,29760.79262,27101.70146,28811.38814,28591.35008
ROYAL MARINE EXPORTS,"R8V5+M94, Chandiroor, Kerala 688535, India",Kerala,688535,19000,0,0,0,0,0,0,0,1143740,Cherthala,Alappuzha,9.8564922,76.32294532,0,1136027.626,1146506.921,1136035.052,1134953.639,1141821.116
RURAL COIR INDUSTRIES,"Mattathil Muhamma, Aryakara, Alappuzha, Muhamma, Kerala 688525, India",Kerala,688525,35768,11666,0,8364,27632,19917,21338,21412,17444,Cherthala,Alappuzha,9.619357623,76.35883995,0,19735.90373,17126.57993,18823.39481,19586.99701,18048.35651
S.P.V.DESIGNS,"G8CJ+JX3, Thalavady, Thiruvilak, Vyasapuram, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,160735,86007,115920,46371,46508,14535,33942,7502,51270,Ambalapuzha,Alappuzha,9.521471733,76.3244164,0,51002.97537,51440.76697,49381.33162,56866.70281,52851.31929
SAMUDRA SHIPYARD P.LTD.,"Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,365,0,0,0,0,0,2712,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,875.3996371,313.8122112,541.9202269,0,430.5775953
SARK SPICE PRODUCTS P. LTD.,"Neelamperoor - Kavalam Rd, Kavalam, Eara, Kerala 686534, India",Kerala,686534,114360,65456,51212,15151,18517,0,0,0,0,Kuttanad,Alappuzha,9.499139,76.50628866,0,0,496.1364122,929.0833895,0,0
SEASON COIR EXPORTS,"CHINGOLI, P.O,KARTHIKAPALLY, Haripad, Karthikapally, Kerala 690532, India",Kerala,690532,684500,864350,1381875,1856433,1203571,1912359,1759803,2883676,6377557,Karthikappally,Alappuzha,9.244080327,76.45276534,0,6380389.897,6377921.797,6375519.025,6376319.748,6375976.118
SILVER STAR SEAFOODS LTD.,"V834+2GJ, Chandiroor, Kerala 688535, India",Kerala,688535,54700,0,0,102300,0,0,0,0,0,Cherthala,Alappuzha,9.8564922,76.32294532,0,0,2336.853141,0,1742.936858,233.5269587
SOUTHERN COIR MILLS,"P.O. Cherthala, S.N.Puram, Cherthala, Kanjikkuzhi, Kerala 688582, India",Kerala,688582,54,885,2888,13509,1416,5071,3864,5201,2975,Cherthala,Alappuzha,9.632050252,76.31478024,0,1651.574903,2794.503207,2115.17893,1716.594441,2328.551426
T.G.POLYMERS&COMPANY,"Aryakara, Muhamma, Kerala 688525, India",Kerala,688525,9900,0,3250,3425,4224,0,5100,0,11641,Cherthala,Alappuzha,9.619357623,76.35883995,0,14238.84236,12617.04246,12769.36041,12294.48832,11229.39971
