Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
ROYAL MARINE EXPORTS,"R8V5+M94, Chandiroor, Kerala 688535, India",Kerala,688535,19000,0,0,0,0,0,0,0,1143740,Cherthala,Alappuzha,9.8564922,76.32294532,0,1141134.73,1137675.31,1140302.52,1142371.3,1141075.82
RURAL COIR INDUSTRIES,"Mattathil Muhamma, Aryakara, Alappuzha, Muhamma, Kerala 688525, India",Kerala,688525,35768,11666,0,8364,27632,19917,21338,21412,17444,Cherthala,Alappuzha,9.619357623,76.35883995,0,17445,17453.62,17457.53,17450.66,17438.54
S.P.V.DESIGNS,"G8CJ+JX3, Thalavady, Thiruvilak, Vyasapuram, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,160735,86007,115920,46371,46508,14535,33942,7502,51270,Ambalapuzha,Alappuzha,9.521471733,76.3244164,0,51302.83,51214.42,51205.94,51270.5,51236.14
SAMUDRA SHIPYARD P.LTD.,"Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,365,0,0,0,0,0,2712,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
SARK SPICE PRODUCTS P. LTD.,"Neelamperoor - Kavalam Rd, Kavalam, Eara, Kerala 686534, India",Kerala,686534,114360,65456,51212,15151,18517,0,0,0,0,Kuttanad,Alappuzha,9.499139,76.50628866,0,0,0,0,0,0
SEASON COIR EXPORTS,"CHINGOLI, P.O,KARTHIKAPALLY, Haripad, Karthikapally, Kerala 690532, India",Kerala,690532,684500,864350,1381875,1856433,1203571,1912359,1759803,2883676,6377557,Karthikappally,Alappuzha,9.244080327,76.45276534,0,6280179.93,6203756.26,6274541.74,6248038.51,6371768.7
SILVER STAR SEAFOODS LTD.,"V834+2GJ, Chandiroor, Kerala 688535, India",Kerala,688535,54700,0,0,102300,0,0,0,0,0,Cherthala,Alappuzha,9.8564922,76.32294532,0,0,0,0,0,0
SOUTHERN COIR MILLS,"P.O. Cherthala, S.N.Puram, Cherthala, Kanjikkuzhi, Kerala 688582, India",Kerala,688582,54,885,2888,13509,1416,5071,3864,5201,2975,Cherthala,Alappuzha,9.632050252,76.31478024,0,2976.5,2973.14,2975.5,2975.8,2972.2
T.G.POLYMERS&COMPANY,"Aryakara, Muhamma, Kerala 688525, India",Kerala,688525,9900,0,3250,3425,4224,0,5100,0,11641,Cherthala,Alappuzha,9.619357623,76.35883995,0,11629.78,11638.6,11628.29,11629.53,11637.53
TAJ COIR MILLS,"Thalavady Rd, Thalavady, Aikyabharatham, Alappuzha, Aryad South, Kerala 688006, India",Kerala,688006,307766,829096,513278,586945,1078464,1153519,1955028,1424013,751116,Ambalapuzha,Alappuzha,9.525584704,76.33896854,0,747771.62,750954.1,747911.74,748951.33,748205.94
TAMILNADU NEWSPRINT & PAPERS LTD.,"Tamil Nadu, India",Tamil Nadu,688534,8636864,22539379,28722169,26076051,26198011,20965251,39244921,18055354,15740204,Cherthla,Alappuzha,9.871729377,76.30438504,0,15917481.19,16254347.92,15494931.7,15618989.6,15664833.05
