Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023
NIMACO ENTREPRISES,67474.0,137094.0,108522.0,124296.0,81425.0,57499.0,37811.0,50128.0,27856.0
NISHANT EXPORT,2423678.0,3064213.0,2657708.0,1950583.0,2976126.0,3024943.0,3251986.0,3279116.0,4112168.0
NITTA GELATIN INDIA LTD.,252243.0,246658.0,338283.0,65921.0,391486.0,824120.0,2324799.0,1864964.0,2524569.0
NORATEL INDIA POWER COMPONENTS P. LTD.,1176472.0,904047.0,1220486.0,1231641.0,1509365.0,916783.0,1716785.0,1612847.0,220125.0
NR SECURITY SYSTEMS,17838.0,27636.0,47897.0,108419.0,123322.0,29215.0,36940.0,81800.0,61516.0
OCEAN TRADERS,34983.0,64069.0,89450.0,40613.0,33036.0,3723.0,25195.0,14972.0,16139.0
OMEGA HOME DECORS,2956563.0,4439624.0,4743498.0,6560966.0,8140548.0,8200477.0,5562001.0,6470035.0,5947325.0
ORCHID ENTERPRISES,20282.0,28612.0,39567.0,20004.0,43918.0,29811.0,52844.0,33357.0,57413.0
ORIENTAL TRADERS,27560.0,696274.0,478044.0,161633.0,52974.0,893570.0,1358039.0,1341830.0,1292668.0
P. J. JOHNSONS FRUIT CO. P. LTD.,2671578.0,6062890.0,3671737.0,2858044.0,2114374.0,783422.0,1547026.0,2390650.0,3930632.0
