Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
INFRA ELEVATORS INDIA,"35/2265A, Infra House, BC Lane, Church Rd, Pallinada, Palarivattom, Kochi, Kerala 682025, India",Kerala,682025,13068,4853,4328,3842,215,500,1406,6399,4842,Ernakulam,Ernakulam,10.00037267,76.30783643,0,4875.350652,4881.762801,4915.808853,4905.069547,4899.578863
INNO MOTION TECHNOLOGIES,"XVI/235, Choornikkara, Aluva, Kerala 683106, India",Kerala,683106,63308,56866,7702,16212,62461,87984,52318,96517,83799,Aluva,Ernakulam,10.08034449,76.34267442,0,83796.75547,84064.15488,83877.20745,83809.09718,83849.43861
INTERCON WOOD INDUSTRIES,"Kanjirakkad, Perumbavoor, Kerala 683543, India",Kerala,683543,2887719,1544696,169110,0,0,0,0,481500,159500,Kunnathunad,Ernakulam,10.12285941,76.48358803,0,199394.7837,184826.0491,193735.0089,177509.0767,186015.7186
K.K.R.AGRO MILLS P.LTD.,"10°08'13. 76°27'43.0""E, 3rd Cross Road, Vallom, Ezhattumugham, Chelamattom part, Kerala 683550, India",Kerala,683550,8635429,9888431,9083661,9597018,6839727,6335090,4600863,883185,888760,Kunnathunad,Ernakulam,10.1564586,76.44930727,0,1370245.184,1521375.113,1501226.322,1520576.179,1501796.885
K.K.R.FOOD PRODUCTS,"5F22+6XR, opposite Reliance Petrol Pump, P.O, Okkal, Kalady, Ernakulam, Kerala 683550, India",Kerala,683550,564102,180933,0,69465,12900,0,0,0,0,Kunnathunad,Ernakulam,10.1564586,76.44930727,0,0,372.4370831,260.660548,1694.97129,565.9653801
KAIRALI GRANITES,"National Highway Bye Pass, Kannadi Kadu Service Rd, Adjacent to Hotel Wyte Fort, Jaya Nagar, Maradu, Kochi, Kerala 682304, India",Kerala,682304,91500,0,0,0,0,0,3512,0,0,Ernakulam,Ernakulam,9.938877707,76.32558968,0,0,22.01790748,0,0,192.5357205
KAISONS RUBBERS,"Kaipattoor, Mekalady, Kalady, Kerala 683574, India",Kerala,683574,2704046,3363651,2995149,2383377,2781048,2310279,3388887,2560743,2956370,Aluva,Ernakulam,10.18281716,76.45845345,0,2456365.826,2797529.527,2745735.637,2755479.991,2778051.986
KALATHIL EXPORTS&IMPORTS,"Door No. 39/1607, Maria Complex, Kannamthottathil Road, Valanjambalam, Eroor Rd, Kappattikavu, Eroor North, Eroor, Kochi, Kerala 682306, India",Kerala,682306,77705,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.968037123,76.33532464,0,7.620681462,12.8942838,18.81053592,0.615047547,8.635510232
KAY CEE CORPORATION,"Basin Rd, Marine Drive, Ernakulam, Kochi, Kerala 682031, India",Kerala,682031,26000,0,0,0,0,0,5375,0,2649,Ernakulam,Ernakulam,9.99692354,76.27468644,0,2734.935329,2687.806667,2692.981934,2724.837501,2723.309476
KAY KAY EXPORTS,"Chanthapallam, Cheriakadavu, Kannamaly, Kochi, Kerala 682008, India",Kerala,682008,1215732,954829,684578,1238760,1630071,1042113,1758820,1509776,1149296,Kochi,Ernakulam,9.869597658,76.26596289,0,1142041.792,1163586.574,1136001.198,1141460.69,1148439.547
KERALA CERAMICS LTD.,"Kerala, India",Kerala,682002,2000,0,0,0,0,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
KERALA STATE CASHEW WORKERS APEX INDSTL.,"Kerala, India",Kerala,682002,229380,368772,165876,28874,32250,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,92.2697536,37.76791525,19.86715381,0,0
KERALA SURGICAL EQUIPMENTS CO.,"28X9+FFJ, Salem-Ernakulam Highway, South Kalamassery, Kalamassery, Kochi, Kerala 682039, India",Kerala,682039,469,0,409,0,0,0,0,0,0,Ernakulam,Ernakulam,10.00464667,76.34727148,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
KERALA VILLAGE CRAFTS,"Kerala, India",Kerala,682002,120,150,440,100,565,0,307,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
KOCHI KICHEN EXPORTS,"ARWA-B-29, Vishwam Nagar, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,41307,8382,0,0,0,0,0,0,91745,Kochi,Ernakulam,9.917652552,76.27326456,0,93232.08041,92906.13199,92858.5293,92393.28126,92418.76565
KODANDARAM ROLLER FLOUR MILLS PVT,"59M9+8X8, Angamaly South, Angamaly, Kerala 683573, India",Kerala,683573,366000,2131698,2208189,2501141,2982175,2086153,852645,0,0,Aluva,Ernakulam,10.18025557,76.38579883,0,156702.5111,123220.6489,122253.1838,90031.55346,77836.17845
KOHINOOR FLOORS P.LTD.,"No. 1/511-A, 47, Old NH17, Kundannoor, Maradu, Ernakulam, Kochi, Kerala 682304, India",Kerala,682304,1010,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.938877707,76.32558968,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
